Date,Well_ID,Field,Region,Well_Type,Production_Status,Oil_Production_BBL,Gas_Production_MCF,Water_Production_BBL,Operating_Cost_USD,Maintenance_Cost_USD,Oil_Price_USD_BBL,Gas_Price_USD_MCF,Revenue_USD,Downtime_Hours,Production_Efficiency_Pct,API_Gravity,Well_Age_Years
2025-01-01,W-001,Permian North,West Texas,Horizontal Oil,Producing,227.3,607.9,278.3,4628.4,125.68,67.86,2.92,15636.88,1.9,89.9,33.9,5
2025-01-01,W-002,Permian South,West Texas,Horizontal Oil,Producing,522.3,1707.1,653.4,8895.14,416.51,67.86,2.92,36038.94,0.7,97.6,39.1,2
2025-01-01,W-003,Eagle Ford,South Texas,Horizontal Oil,Producing,418.6,713.4,426.0,8835.9,275.46,67.86,2.92,28655.44,0.7,98.0,31.4,7
2025-01-01,W-004,Bakken Central,North Dakota,Horizontal Oil,Producing,232.0,280.3,147.9,4989.76,437.73,67.86,2.92,15840.61,1.4,90.7,37.1,4
2025-01-01,W-005,Bakken North,North Dakota,Horizontal Oil,Producing,362.2,1115.5,202.5,7336.34,529.58,67.86,2.92,24969.69,1.8,90.0,39.6,4
2025-01-01,W-006,Delaware Basin,New Mexico,Oil & Gas,Producing,283.2,594.7,258.5,6639.51,310.71,67.86,2.92,19425.38,0.8,95.2,38.1,8
2025-01-01,W-007,Permian North,West Texas,Horizontal Oil,Producing,561.5,1442.8,582.4,8795.98,531.5,67.86,2.92,38608.2,2.2,90.7,39.4,3
2025-01-01,W-008,Permian South,West Texas,Horizontal Oil,Producing,313.3,578.2,177.2,7211.62,765.33,67.86,2.92,21464.11,0,97.5,33.6,3
2025-01-01,W-009,Eagle Ford,South Texas,Horizontal Oil,Producing,203.4,451.1,123.1,4944.92,202.71,67.86,2.92,13961.22,2.2,89.4,35.6,2
2025-01-01,W-010,Bakken Central,North Dakota,Horizontal Oil,Producing,279.8,869.2,248.6,4815.35,683.94,67.86,2.92,19292.23,0,97.0,34.2,10
2025-01-01,W-011,Bakken North,North Dakota,Horizontal Oil,Producing,364.0,833.8,235.5,5929.62,570.65,67.86,2.92,24995.2,2.0,89.1,37.4,8
2025-01-01,W-012,Delaware Basin,New Mexico,Oil & Gas,Producing,219.0,558.7,160.5,5364.71,156.69,67.86,2.92,15054.63,0.8,94.0,34.5,9
2025-01-01,W-013,Permian North,West Texas,Horizontal Oil,Producing,555.4,1340.4,515.5,10864.83,252.33,67.86,2.92,38160.02,0.9,92.9,39.5,4
2025-01-01,W-014,Permian South,West Texas,Horizontal Oil,Producing,484.3,1052.9,548.8,9734.53,178.73,67.86,2.92,33232.22,1.2,93.1,40.3,4
2025-01-01,W-015,Eagle Ford,South Texas,Horizontal Oil,Producing,268.3,572.1,238.2,4780.7,838.61,67.86,2.92,18410.14,1.2,93.3,35.6,2
2025-01-01,W-016,Bakken Central,North Dakota,Oil & Gas,Producing,418.5,509.1,564.8,8653.53,841.09,67.86,2.92,28580.22,0.3,99.0,33.0,6
2025-01-01,W-017,Bakken North,North Dakota,Horizontal Oil,Producing,210.0,259.3,179.1,4669.86,727.26,67.86,2.92,14339.63,0.2,97.5,34.2,11
2025-01-01,W-018,Delaware Basin,New Mexico,Horizontal Oil,Producing,496.7,1683.5,494.0,9171.46,337.37,67.86,2.92,34296.04,0.8,97.5,33.1,11
2025-01-02,W-001,Permian North,West Texas,Horizontal Oil,Producing,226.5,693.3,153.1,4716.33,248.66,66.59,2.94,15325.04,1.8,91.6,33.9,5
2025-01-02,W-002,Permian South,West Texas,Horizontal Oil,Producing,513.8,706.9,648.5,8491.57,595.51,66.59,2.94,34464.89,1.2,93.2,39.1,2
2025-01-02,W-003,Eagle Ford,South Texas,Horizontal Oil,Producing,405.5,1114.1,300.5,7566.06,340.0,66.59,2.94,27399.45,0,97.6,31.4,7
2025-01-02,W-004,Bakken Central,North Dakota,Horizontal Oil,Producing,240.7,518.4,324.6,4930.84,270.52,66.59,2.94,16208.75,0.5,95.3,37.1,4
2025-01-02,W-005,Bakken North,North Dakota,Horizontal Oil,Producing,325.1,475.6,395.7,6602.55,889.79,66.59,2.94,21818.69,2.0,91.0,39.6,4
2025-01-02,W-006,Delaware Basin,New Mexico,Oil & Gas,Maintenance,166.8,438.1,217.1,2879.66,4159.06,66.59,2.94,11264.32,18.3,54.3,38.1,8
2025-01-02,W-007,Permian North,West Texas,Horizontal Oil,Producing,652.3,1794.3,465.0,11400.58,490.83,66.59,2.94,44073.4,0,100,39.4,3
2025-01-02,W-008,Permian South,West Texas,Horizontal Oil,Producing,309.2,342.6,360.8,5960.33,692.98,66.59,2.94,20711.24,1.5,92.6,33.6,3
2025-01-02,W-009,Eagle Ford,South Texas,Horizontal Oil,Producing,209.1,266.1,262.7,5017.51,767.68,66.59,2.94,14015.67,1.3,93.6,35.6,2
2025-01-02,W-010,Bakken Central,North Dakota,Horizontal Oil,Producing,294.8,864.1,365.1,5879.84,299.62,66.59,2.94,19937.16,1.3,91.3,34.2,10
2025-01-02,W-011,Bakken North,North Dakota,Horizontal Oil,Producing,405.0,824.0,423.8,6921.76,791.68,66.59,2.94,27257.8,1.3,95.4,37.4,8
2025-01-02,W-012,Delaware Basin,New Mexico,Oil & Gas,Producing,245.0,456.7,317.2,5691.11,748.6,66.59,2.94,16477.86,0.9,93.7,34.5,9
2025-01-02,W-013,Permian North,West Texas,Horizontal Oil,Producing,487.0,1512.6,602.4,8054.16,468.24,66.59,2.94,32964.64,0.7,94.7,39.5,4
2025-01-02,W-014,Permian South,West Texas,Horizontal Oil,Producing,473.6,878.5,588.0,9706.75,613.19,66.59,2.94,31848.39,0.8,94.7,40.3,4
2025-01-02,W-015,Eagle Ford,South Texas,Horizontal Oil,Producing,287.9,938.6,184.9,6269.87,870.03,66.59,2.94,19502.26,1.0,93.3,35.6,2
2025-01-02,W-016,Bakken Central,North Dakota,Oil & Gas,Producing,407.3,1015.8,390.6,6988.0,303.78,66.59,2.94,27479.01,0,99.5,33.0,6
2025-01-02,W-017,Bakken North,North Dakota,Horizontal Oil,Maintenance,119.4,328.8,136.5,2856.22,3584.59,66.59,2.94,8064.45,20.5,54.6,34.2,11
2025-01-02,W-018,Delaware Basin,New Mexico,Horizontal Oil,Producing,436.9,1332.7,491.9,7182.61,426.71,66.59,2.94,29563.57,1.3,92.7,33.1,11
2025-01-03,W-001,Permian North,West Texas,Horizontal Oil,Producing,241.1,606.5,190.6,4306.58,329.53,68.87,3.08,16827.23,1.9,90.4,33.9,5
2025-01-03,W-002,Permian South,West Texas,Horizontal Oil,Producing,572.3,1241.7,517.2,9098.05,820.94,68.87,3.08,39875.17,0.4,98.3,39.1,2
2025-01-03,W-003,Eagle Ford,South Texas,Horizontal Oil,Producing,408.1,763.6,491.7,8530.27,279.71,68.87,3.08,28389.2,1.6,90.5,31.4,7
2025-01-03,W-004,Bakken Central,North Dakota,Horizontal Oil,Maintenance,188.3,575.2,114.5,3895.37,5513.75,68.87,3.08,13180.73,6.9,70.9,37.1,4
2025-01-03,W-005,Bakken North,North Dakota,Horizontal Oil,Producing,328.4,856.9,182.1,6911.44,185.27,68.87,3.08,22936.31,1.3,92.8,39.6,4
2025-01-03,W-006,Delaware Basin,New Mexico,Oil & Gas,Producing,269.7,451.3,331.4,5493.51,634.06,68.87,3.08,18740.34,1.7,93.8,38.1,8
2025-01-03,W-007,Permian North,West Texas,Horizontal Oil,Producing,676.5,2131.0,703.6,12379.75,764.46,68.87,3.08,47373.56,0.5,96.7,39.4,3
2025-01-03,W-008,Permian South,West Texas,Horizontal Oil,Producing,318.2,530.9,337.3,6623.31,601.4,68.87,3.08,22106.84,0.8,94.1,33.6,3
2025-01-03,W-009,Eagle Ford,South Texas,Horizontal Oil,Producing,232.7,401.3,187.5,4520.23,285.01,68.87,3.08,16170.34,0,99.5,35.6,2
2025-01-03,W-010,Bakken Central,North Dakota,Horizontal Oil,Producing,274.6,564.7,196.5,5447.34,567.26,68.87,3.08,19120.99,1.6,92.8,34.2,10
2025-01-03,W-011,Bakken North,North Dakota,Horizontal Oil,Producing,401.2,792.3,222.5,7173.48,782.76,68.87,3.08,27920.79,1.1,96.1,37.4,8
2025-01-03,W-012,Delaware Basin,New Mexico,Oil & Gas,Producing,240.9,387.3,174.8,4243.76,368.9,68.87,3.08,16736.44,0.8,96.1,34.5,9
2025-01-03,W-013,Permian North,West Texas,Horizontal Oil,Producing,507.4,1103.6,330.9,8763.77,415.22,68.87,3.08,35350.94,0,98.8,39.5,4
2025-01-03,W-014,Permian South,West Texas,Horizontal Oil,Maintenance,266.9,577.1,157.6,4774.06,7566.11,68.87,3.08,18597.48,14.9,54.9,40.3,4
2025-01-03,W-015,Eagle Ford,South Texas,Horizontal Oil,Producing,276.7,356.5,156.5,6115.06,379.97,68.87,3.08,19185.68,0.8,95.9,35.6,2
2025-01-03,W-016,Bakken Central,North Dakota,Oil & Gas,Producing,432.0,1224.6,565.8,6318.88,221.91,68.87,3.08,30204.06,0,96.6,33.0,6
2025-01-03,W-017,Bakken North,North Dakota,Horizontal Oil,Producing,220.4,631.2,150.8,4841.36,191.63,68.87,3.08,15411.07,0.3,98.8,34.2,11
2025-01-03,W-018,Delaware Basin,New Mexico,Horizontal Oil,Producing,434.5,503.6,347.4,8798.4,417.32,68.87,3.08,30105.64,0.6,97.1,33.1,11
2025-01-04,W-001,Permian North,West Texas,Horizontal Oil,Producing,239.3,593.7,154.8,5686.65,377.76,72.13,3.12,17483.28,1.9,90.4,33.9,5
2025-01-04,W-002,Permian South,West Texas,Horizontal Oil,Producing,530.3,999.6,652.1,10128.86,868.63,72.13,3.12,38627.03,1.6,92.6,39.1,2
2025-01-04,W-003,Eagle Ford,South Texas,Horizontal Oil,Producing,434.0,1441.1,332.5,9019.15,486.8,72.13,3.12,31841.95,0.6,95.7,31.4,7
2025-01-04,W-004,Bakken Central,North Dakota,Horizontal Oil,Producing,255.2,780.6,309.9,4637.55,295.09,72.13,3.12,18697.59,0,98.3,37.1,4
2025-01-04,W-005,Bakken North,North Dakota,Horizontal Oil,Producing,374.1,567.9,269.2,7371.66,804.26,72.13,3.12,27194.31,0.7,96.6,39.6,4
2025-01-04,W-006,Delaware Basin,New Mexico,Oil & Gas,Producing,277.6,910.6,171.7,5751.14,706.53,72.13,3.12,20363.05,0.9,95.7,38.1,8
2025-01-04,W-007,Permian North,West Texas,Horizontal Oil,Producing,597.5,961.8,659.3,9648.46,478.61,72.13,3.12,43459.09,0,98.7,39.4,3
2025-01-04,W-008,Permian South,West Texas,Horizontal Oil,Producing,344.6,641.3,383.3,5765.29,196.52,72.13,3.12,25096.71,0.9,93.3,33.6,3
2025-01-04,W-009,Eagle Ford,South Texas,Horizontal Oil,Producing,228.7,365.4,214.4,5561.45,519.71,72.13,3.12,16635.24,0,97.4,35.6,2
2025-01-04,W-010,Bakken Central,North Dakota,Horizontal Oil,Producing,271.4,440.5,188.2,4380.78,319.45,72.13,3.12,19737.24,0.5,98.8,34.2,10
2025-01-04,W-011,Bakken North,North Dakota,Horizontal Oil,Producing,415.5,926.1,518.6,7660.1,452.38,72.13,3.12,30314.22,0.7,94.1,37.4,8
2025-01-04,W-012,Delaware Basin,New Mexico,Oil & Gas,Maintenance,134.3,401.8,117.0,2903.17,3330.94,72.13,3.12,9840.11,20.8,53.2,34.5,9
2025-01-04,W-013,Permian North,West Texas,Horizontal Oil,Producing,512.0,1733.7,330.1,9854.93,732.59,72.13,3.12,37579.89,0.4,95.5,39.5,4
2025-01-04,W-014,Permian South,West Texas,Horizontal Oil,Producing,550.0,1857.4,436.9,10301.64,692.07,72.13,3.12,40365.59,0,100,40.3,4
2025-01-04,W-015,Eagle Ford,South Texas,Horizontal Oil,Producing,271.4,710.7,183.3,4470.68,102.14,72.13,3.12,19839.49,1.1,93.7,35.6,2
2025-01-04,W-016,Bakken Central,North Dakota,Oil & Gas,Producing,423.7,1151.1,386.9,8326.73,730.26,72.13,3.12,30991.75,0.7,96.2,33.0,6
2025-01-04,W-017,Bakken North,North Dakota,Horizontal Oil,Producing,218.5,454.0,215.4,5024.81,761.3,72.13,3.12,15931.41,1.4,90.7,34.2,11
2025-01-04,W-018,Delaware Basin,New Mexico,Horizontal Oil,Producing,477.7,842.5,310.2,9303.22,854.14,72.13,3.12,34768.98,0.3,97.3,33.1,11
2025-01-05,W-001,Permian North,West Texas,Horizontal Oil,Maintenance,132.9,222.7,82.8,3764.01,11415.59,73.0,2.99,9781.43,10.6,56.3,33.9,5
2025-01-05,W-002,Permian South,West Texas,Horizontal Oil,Producing,565.5,972.5,329.2,10893.52,621.21,73.0,2.99,41630.22,0.8,97.2,39.1,2
2025-01-05,W-003,Eagle Ford,South Texas,Horizontal Oil,Producing,427.8,560.4,354.4,7746.06,786.19,73.0,2.99,31436.13,0,97.6,31.4,7
2025-01-05,W-004,Bakken Central,North Dakota,Horizontal Oil,Producing,254.2,832.2,305.3,4891.02,351.61,73.0,2.99,18856.83,0.2,96.8,37.1,4
2025-01-05,W-005,Bakken North,North Dakota,Horizontal Oil,Producing,394.2,1030.0,388.0,6652.13,389.42,73.0,2.99,29151.28,0.0,99.8,39.6,4
2025-01-05,W-006,Delaware Basin,New Mexico,Oil & Gas,Producing,311.2,488.1,307.9,6673.47,658.6,73.0,2.99,22897.42,1.3,91.4,38.1,8
2025-01-05,W-007,Permian North,West Texas,Horizontal Oil,Producing,597.8,1414.8,592.8,9298.43,830.34,73.0,2.99,44146.86,0.3,97.1,39.4,3
2025-01-05,W-008,Permian South,West Texas,Horizontal Oil,Producing,357.4,802.9,401.5,6499.19,767.78,73.0,2.99,26381.57,0.4,99.2,33.6,3
2025-01-05,W-009,Eagle Ford,South Texas,Horizontal Oil,Producing,258.3,586.2,323.8,5619.05,732.0,73.0,2.99,19071.27,0.1,97.7,35.6,2
2025-01-05,W-010,Bakken Central,North Dakota,Horizontal Oil,Producing,285.8,853.7,221.8,5089.26,899.12,73.0,2.99,21169.04,0.6,96.0,34.2,10
2025-01-05,W-011,Bakken North,North Dakota,Horizontal Oil,Producing,404.9,951.5,370.2,6590.11,658.0,73.0,2.99,29901.68,0.1,98.4,37.4,8
2025-01-05,W-012,Delaware Basin,New Mexico,Oil & Gas,Producing,250.6,300.8,287.1,5587.59,408.86,73.0,2.99,18400.67,0.6,96.8,34.5,9
